test,len_a,len_b,product,distinct_b,lcs_length,time_nicad,time_bitpar,speedup,match
1,3146,6264,19706544,101,790,0.03804,0.008088,4.7,True
2,1479,9322,13787238,101,630,0.026364,0.00672,3.92,True
3,697,140,97580,74,54,0.004461,0.004383,1.02,True
4,7470,6667,49802490,101,1253,0.080413,0.007279,11.05,True
5,27153,36161,981879633,101,5627,1.461039,0.040067,36.46,True
6,35848,35392,1268732416,101,6427,1.878148,0.046511,40.38,True
7,3597,7861,28276017,101,945,0.048409,0.006758,7.16,True
8,8798,9331,82094138,101,1622,0.130204,0.008743,14.89,True
9,45620,45552,2078082240,101,8189,3.073243,0.076029,40.42,True
10,471,436,205356,101,76,0.004817,0.004264,1.13,True
11,236,853,201308,101,72,0.004901,0.004245,1.15,True
12,29828,31598,942505144,101,5529,1.404617,0.038142,36.83,True
13,866,313,271058,99,85,0.004817,0.004008,1.2,True
14,2950,8197,24181150,101,873,0.042086,0.006078,6.92,True
15,16442,22592,371457664,101,3455,0.561689,0.017435,32.22,True
16,9562,3396,32472552,101,1003,0.053536,0.006435,8.32,True
17,31,51,1581,42,3,0.004286,0.0039,1.1,True
18,802,208,166816,90,73,0.004039,0.005044,0.8,True
19,25228,21839,550954292,101,4216,0.83489,0.030666,27.22,True
20,48599,47737,2319970463,101,8676,3.409954,0.080665,42.27,True
21,48449,45204,2190088596,101,8432,3.275172,0.075469,43.4,True
22,39687,11623,461282001,101,3792,0.693206,0.020945,33.1,True
23,8813,5596,49317548,101,1261,0.079097,0.007267,10.89,True
24,2462,6821,16793302,101,721,0.030378,0.005744,5.29,True
25,5425,6084,33005700,101,1015,0.054111,0.006256,8.65,True
26,42743,47812,2043628316,101,8159,3.019938,0.079374,38.05,True
27,23,16,368,15,1,0.004977,0.004189,1.19,True
28,634,916,580744,101,128,0.005232,0.004452,1.18,True
29,32431,37667,1221578477,101,6288,1.813913,0.044971,40.34,True
30,3574,5229,18688446,101,764,0.032749,0.005696,5.75,True
31,29288,22577,661235176,101,4626,1.033801,0.025559,40.45,True
32,763,866,660758,101,139,0.005479,0.004285,1.28,True
33,35037,22085,773792145,101,4981,1.176543,0.028965,40.62,True
34,7191,2539,18257949,101,748,0.032385,0.005833,5.55,True
35,18389,14637,269159793,101,2943,0.40867,0.014083,29.02,True
36,8814,4623,40747122,101,1128,0.066025,0.007556,8.74,True
37,22680,21879,496215720,101,4018,0.76647,0.021597,35.49,True
38,20558,21394,439817852,101,3761,0.673004,0.019447,34.61,True
39,365,706,257690,101,87,0.004739,0.003951,1.2,True
40,697,625,435625,101,112,0.004946,0.004659,1.06,True
41,2543,2903,7382329,101,482,0.015815,0.005102,3.1,True
42,39579,25165,996005535,101,5665,1.500536,0.041316,36.32,True
43,15,67,1005,47,3,0.00418,0.003997,1.05,True
44,17907,11328,202850496,101,2545,0.314038,0.012934,24.28,True
45,6312,1980,12497760,101,610,0.024265,0.005688,4.27,True
46,1154,4022,4641388,101,365,0.011682,0.005037,2.32,True
47,49316,48273,2380631268,101,8761,3.591562,0.082035,43.78,True
48,25723,21114,543115422,101,4187,0.829414,0.022232,37.31,True
49,4810,2123,10211630,101,564,0.020253,0.006222,3.26,True
50,953,280,266840,93,86,0.004676,0.003847,1.22,True
51,30662,32726,1003444612,101,5686,1.494032,0.040796,36.62,True
52,5773,6041,34874693,101,1058,0.058274,0.007255,8.03,True
53,6960,8092,56320320,101,1330,0.094301,0.007088,13.3,True
54,8361,5519,46144359,101,1206,0.07422,0.007347,10.1,True
55,3620,6060,21937200,101,833,0.037589,0.005981,6.28,True
56,39435,14690,579300150,101,4260,0.875835,0.02401,36.48,True
57,38995,38815,1513590925,101,7012,2.233782,0.054296,41.14,True
58,6708,3751,25161708,101,888,0.042388,0.006416,6.61,True
59,780,693,540540,100,120,0.005012,0.004724,1.06,True
60,20057,24746,496330522,101,3983,0.754844,0.021575,34.99,True
61,47540,49129,2335592660,101,8679,3.455814,0.085833,40.26,True
62,667,368,245456,101,85,0.004983,0.00445,1.12,True
63,5027,8678,43624306,101,1190,0.070282,0.008096,8.68,True
64,35165,36006,1266150990,101,6393,1.896857,0.046039,41.2,True
65,6151,6222,38271522,101,1107,0.061972,0.006746,9.19,True
66,12,60,720,47,3,0.004459,0.004035,1.1,True
67,17,79,1343,59,5,0.00429,0.003994,1.07,True
68,413,700,289100,101,96,0.005181,0.004382,1.18,True
69,28246,23019,650194674,101,4594,1.00063,0.025548,39.17,True
70,78,48,3744,40,10,0.004672,0.004087,1.14,True
71,4330,6824,29547920,101,975,0.048926,0.006629,7.38,True
72,18393,30179,555082347,101,4237,0.830291,0.024291,34.18,True
73,4518,4924,22246632,101,828,0.038589,0.006008,6.42,True
74,4996,1220,6095120,101,421,0.013683,0.006071,2.25,True
75,23328,39216,914830848,101,5426,1.372962,0.039971,34.35,True
76,426,578,246228,101,83,0.005458,0.004261,1.28,True
77,17801,24253,431727653,101,3727,0.651778,0.022005,29.62,True
78,3095,2571,7957245,101,492,0.016692,0.005233,3.19,True
79,35571,16555,588877905,101,4329,0.910295,0.023473,38.78,True
80,32330,14079,455174070,101,3789,0.70131,0.019836,35.36,True
81,18895,13209,249584055,101,2837,0.376065,0.013976,26.91,True
82,42483,47834,2032131822,101,8113,3.006799,0.072254,41.61,True
83,423,785,332055,101,100,0.005661,0.00416,1.36,True
84,21189,14211,301116879,101,3134,0.45902,0.015603,29.42,True
85,21916,14197,311141452,101,3169,0.469339,0.016256,28.87,True
86,12,80,960,60,3,0.005173,0.004551,1.14,True
87,40772,44395,1810072940,101,7665,2.719637,0.064868,41.93,True
88,83,64,5312,48,12,0.004069,0.003973,1.02,True
89,828,173,143244,86,63,0.004288,0.004129,1.04,True
90,72,26,1872,23,6,0.00416,0.003832,1.09,True
91,811,645,523095,101,127,0.004817,0.004215,1.14,True
92,5755,7151,41154005,101,1156,0.070145,0.006736,10.41,True
93,765,869,664785,101,141,0.005494,0.004368,1.26,True
94,990,319,315810,96,98,0.004255,0.004031,1.06,True
95,6194,3379,20929526,101,823,0.036311,0.005982,6.07,True
96,506,679,343574,101,102,0.004536,0.004241,1.07,True
97,76,95,7220,59,13,0.003759,0.00406,0.93,True
98,44226,49956,2209354056,101,8458,3.308158,0.085294,38.79,True
99,18757,31156,584393092,101,4331,0.894442,0.025162,35.55,True
100,41244,46159,1903781796,101,7857,2.812533,0.0685,41.06,True
