test,len_a,len_b,product,distinct_b,lcs_length,time_nicad,time_bitpar,speedup,match
1,48217,48998,2362536566,34444,377,3.520874,0.277624,12.68,True
2,37485,15688,588064680,13885,175,0.939889,0.051459,18.26,True
3,559,920,514280,915,2,0.005296,0.004202,1.26,True
4,60,82,4920,82,0,0.004672,0.004371,1.07,True
5,9129,1075,9813675,1068,21,0.020524,0.005939,3.46,True
6,6982,1319,9209258,1310,22,0.019859,0.005739,3.46,True
7,13984,19254,269247936,16636,118,0.417459,0.027955,14.93,True
8,24,88,2112,88,0,0.004182,0.004104,1.02,True
9,25007,11303,282654121,10393,125,0.436355,0.022754,19.18,True
10,6121,2136,13074456,2093,24,0.025269,0.006307,4.01,True
11,32907,13960,459381720,12597,153,0.714272,0.033466,21.34,True
12,45660,40237,1837221420,30116,324,2.734274,0.192621,14.2,True
13,9163,3177,29110851,3121,37,0.049862,0.007093,7.03,True
14,34268,17151,587730468,15045,180,0.902879,0.044645,20.22,True
15,506,295,149270,293,2,0.004671,0.004003,1.17,True
16,4079,2938,11984102,2876,20,0.023573,0.005835,4.04,True
17,38369,18945,726900705,16447,209,1.123092,0.055005,20.42,True
18,249,579,144171,576,1,0.00506,0.004521,1.12,True
19,49834,43731,2179290654,31892,353,3.293018,0.236344,13.93,True
20,268,300,80400,299,1,0.004805,0.004284,1.12,True
21,662,552,365424,550,3,0.004703,0.004065,1.16,True
22,94,73,6862,73,0,0.004125,0.004054,1.02,True
23,10688,31147,332899136,24824,134,0.509753,0.049,10.4,True
24,24560,11310,277773600,10422,121,0.429314,0.022258,19.29,True
25,24309,30888,750856392,24684,213,1.139041,0.076503,14.89,True
26,563,215,121045,215,2,0.004735,0.004296,1.1,True
27,37232,23408,871526656,19699,215,1.347964,0.071379,18.88,True
28,4577,7335,33572295,6940,40,0.057854,0.008628,6.71,True
29,2124,9390,19944360,8727,30,0.036894,0.008434,4.37,True
30,52,20,1040,20,0,0.004437,0.004164,1.07,True
31,46,71,3266,71,0,0.003896,0.003915,1.0,True
32,2611,7432,19404952,7046,33,0.035037,0.00773,4.53,True
33,37622,33404,1256725288,26096,265,1.872796,0.113932,16.44,True
34,9494,5489,52112566,5249,51,0.084945,0.009062,9.37,True
