test,len_a,len_b,product,lcs_length,time_2row,time_1row,speedup,match
1,17187,32414,557099418,168,0.848695,0.329663,2.5744,True
2,1714,6170,10575380,21,0.021432,0.010813,1.982,True
3,37104,33240,1233336960,260,1.856005,0.664039,2.795,True
4,23394,12753,298343682,122,0.451345,0.155997,2.8933,True
5,4972,7393,36757996,43,0.061013,0.024503,2.49,True
6,44081,46441,2047165721,349,3.120225,1.168798,2.6696,True
7,4762,6960,33143520,37,0.055707,0.022405,2.4863,True
8,515,706,363590,4,0.005076,0.004354,1.1657,True
9,86,100,8600,0,0.003895,0.00377,1.0332,True
10,9081,8587,77978547,60,0.123182,0.044784,2.7505,True
11,13357,26007,347375499,136,0.526664,0.191252,2.7538,True
12,37821,15614,590537094,181,0.887435,0.315275,2.8148,True
13,466,127,59182,3,0.004708,0.004059,1.1598,True
14,35627,35156,1252502812,269,1.894991,0.645657,2.935,True
15,2956,7666,22660696,31,0.03947,0.016871,2.3396,True
16,6450,2513,16208850,27,0.029628,0.012788,2.3168,True
17,62,70,4340,0,0.004041,0.003664,1.1031,True
18,735,893,656355,4,0.00567,0.004568,1.2412,True
19,32680,34042,1112492560,250,1.679181,0.586877,2.8612,True
20,30856,27529,849434824,225,1.275707,0.493784,2.5835,True
21,521,632,329272,2,0.00511,0.004647,1.0996,True
22,14315,33783,483603645,160,0.735403,0.272769,2.6961,True
23,899,561,504339,1,0.005207,0.004604,1.1309,True
24,5586,9330,52117380,51,0.084351,0.037786,2.2323,True
25,45974,46813,2152180862,348,3.26458,1.247903,2.6161,True
26,4176,4602,19217952,29,0.035193,0.01409,2.4977,True
27,23092,13334,307908728,128,0.465547,0.160381,2.9028,True
28,130,590,76700,1,0.004566,0.004108,1.1114,True
29,181,158,28598,0,0.004009,0.003762,1.0658,True
30,36,36,1296,0,0.004048,0.003871,1.0455,True
31,469,142,66598,2,0.003936,0.003993,0.9856,True
32,766,423,324018,5,0.005125,0.004457,1.1497,True
33,3269,2049,6698181,19,0.015796,0.010914,1.4473,True
34,3327,8801,29280927,37,0.051229,0.021125,2.425,True
35,7111,6865,48817015,51,0.079484,0.030157,2.6356,True
36,8262,9571,79075602,62,0.124035,0.04571,2.7135,True
37,31301,37015,1158606515,257,1.754723,0.630658,2.7824,True
38,44816,43498,1949406368,336,2.949438,1.049176,2.8112,True
39,29523,14653,432600519,159,0.653686,0.228334,2.8628,True
40,25196,34913,879667948,225,1.331475,0.473669,2.811,True
41,24515,38440,942356600,228,1.431192,0.485246,2.9494,True
42,40521,43231,1751763351,322,2.655953,0.928948,2.8591,True
43,199,957,190443,2,0.004755,0.004259,1.1165,True
44,4904,1129,5536616,14,0.013644,0.007846,1.739,True
45,8868,1140,10109520,23,0.021954,0.010277,2.1363,True
46,7920,9745,77180400,60,0.12115,0.044549,2.7195,True
47,10,20,200,0,0.004461,0.003759,1.1869,True
48,2723,2051,5584873,18,0.013453,0.007692,1.749,True
49,10,60,600,0,0.004222,0.003835,1.1011,True
50,105,456,47880,0,0.004278,0.003969,1.0779,True
51,187,209,39083,1,0.004009,0.00408,0.9825,True
52,33076,12701,420098276,151,0.629462,0.217371,2.8958,True
53,11520,13614,156833280,93,0.240024,0.090724,2.6456,True
54,33005,15588,514481940,164,0.775391,0.263845,2.9388,True
55,125,168,21000,1,0.004276,0.003887,1.1001,True
56,25244,11588,292527472,128,0.445471,0.152678,2.9177,True
57,11061,12766,141204726,87,0.217473,0.077751,2.797,True
58,9632,4013,38653216,43,0.064371,0.024077,2.6736,True
59,48098,40918,1968073964,334,2.989053,1.043501,2.8644,True
60,6572,1490,9792280,24,0.020054,0.009971,2.0112,True
61,3854,7365,28384710,36,0.048789,0.019793,2.465,True
62,1583,7459,11807597,21,0.023322,0.01193,1.9549,True
63,712,785,558920,3,0.005529,0.004665,1.1851,True
64,410,713,292330,3,0.005036,0.004699,1.0716,True
65,47638,46959,2237032842,359,3.391917,1.325079,2.5598,True
66,33945,28573,969910485,232,1.461714,0.512116,2.8543,True
